Frame,Speed,X,Y,Changed Pixels
112,0.1374227860717345,267.9583333333333,556.7708333333334,1
113,0.13849062478659746,267.9795918367347,556.8367346938776,1
114,0.0,267.9795918367347,556.8367346938776,0
115,0.0,267.9795918367347,556.8367346938776,0
116,0.0,267.9795918367347,556.8367346938776,0
117,0.31074202408855567,268.0416666666667,556.9791666666666,3
118,0.17257715385867586,268.1020408163265,557.0408163265306,1
119,0.0,268.1020408163265,557.0408163265306,0
120,1.194880095371745,267.51020408163265,556.9591836734694,8
121,0.5629277390656398,267.7916666666667,556.9583333333334,3
122,0.15341983688891853,267.83673469387753,557.0204081632653,1
123,0.0,267.83673469387753,557.0204081632653,0
124,0.43856264414144747,268.02,556.9,3
125,0.0,268.02,556.9,0
126,0.0,268.02,556.9,0
127,0.0,268.02,556.9,0
128,0.15013751852529594,267.9795918367347,556.8367346938776,1
129,0.2581451151158352,267.85714285714283,556.795918367347,2
130,0.0,267.85714285714283,556.795918367347,0
